OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2021-07-01,8,0,2021-07-01T14:00:00-00:00,2021-07-01T15:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,708.11844,ACTUAL,5
2021-07-01,9,0,2021-07-01T15:00:00-00:00,2021-07-01T16:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1215.29937,ACTUAL,5
2021-07-01,10,0,2021-07-01T16:00:00-00:00,2021-07-01T17:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1471.39157,ACTUAL,5
2021-07-01,11,0,2021-07-01T17:00:00-00:00,2021-07-01T18:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1594.14841,ACTUAL,5
2021-07-01,12,0,2021-07-01T18:00:00-00:00,2021-07-01T19:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1667.7828,ACTUAL,5
2021-07-01,13,0,2021-07-01T19:00:00-00:00,2021-07-01T20:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1684.85805,ACTUAL,5
2021-07-01,14,0,2021-07-01T20:00:00-00:00,2021-07-01T21:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1666.32851,ACTUAL,5
2021-07-01,15,0,2021-07-01T21:00:00-00:00,2021-07-01T22:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1639.37702,ACTUAL,5
2021-07-01,16,0,2021-07-01T22:00:00-00:00,2021-07-01T23:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1579.56368,ACTUAL,5
2021-07-01,17,0,2021-07-01T23:00:00-00:00,2021-07-02T00:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1459.67341,ACTUAL,5
2021-07-01,18,0,2021-07-02T00:00:00-00:00,2021-07-02T01:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1228.93468,ACTUAL,5
2021-07-01,19,0,2021-07-02T01:00:00-00:00,2021-07-02T02:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,751.04244,ACTUAL,5
2021-07-01,20,0,2021-07-02T02:00:00-00:00,2021-07-02T03:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,193.59176,ACTUAL,5
2021-07-01,21,0,2021-07-02T03:00:00-00:00,2021-07-02T04:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.90605,ACTUAL,5
2021-07-01,22,0,2021-07-02T04:00:00-00:00,2021-07-02T05:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.52549,ACTUAL,5
2021-07-01,23,0,2021-07-02T05:00:00-00:00,2021-07-02T06:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.44564,ACTUAL,5
2021-07-01,2,0,2021-07-01T08:00:00-00:00,2021-07-01T09:00:00-00:00,ZP26,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.47906,ACTUAL,5
